时间,工业二氧化硫排放量:全国:年,工业二氧化硫排放量:北京:年,工业二氧化硫排放量:天津:年,工业二氧化硫排放量:河北:年,工业二氧化硫排放量:山西:年,工业二氧化硫排放量:内蒙古:年,工业二氧化硫排放量:辽宁:年,工业二氧化硫排放量:吉林:年,工业二氧化硫排放量:黑龙江:年,工业二氧化硫排放量:上海:年,工业二氧化硫排放量:江苏:年,工业二氧化硫排放量:浙江:年,工业二氧化硫排放量:安徽:年,工业二氧化硫排放量:福建:年,工业二氧化硫排放量:江西:年,工业二氧化硫排放量:山东:年,工业二氧化硫排放量:河南:年,工业二氧化硫排放量:湖北:年,工业二氧化硫排放量:湖南:年,工业二氧化硫排放量:广东:年,工业二氧化硫排放量:广西:年,工业二氧化硫排放量:海南:年,工业二氧化硫排放量:重庆:年,工业二氧化硫排放量:四川:年,工业二氧化硫排放量:贵州:年,工业二氧化硫排放量:云南:年,工业二氧化硫排放量:西藏:年,工业二氧化硫排放量:陕西:年,工业二氧化硫排放量:甘肃:年,工业二氧化硫排放量:青海:年,工业二氧化硫排放量:宁夏:年,工业二氧化硫排放量:新疆:年
2022-12-31 00:00:00,243.5242,0.1078,0.6455,14.6246,12.8523,20.2704,13.0542,5.5121,10.2592,0.6708,7.4834,4.0572,7.1108,6.002,7.6023,14.5926,5.8925,8.5044,6.9592,8.8217,6.1635,0.3567,4.5947,12.2221,12.2506,18.4629,0.2684,6.7222,7.6675,4.1039,5.4846,10.2044
2021-12-31 00:00:00,274.781,0.1422,0.851,17.0654,14.6959,22.4779,16.3342,6.2286,11.0319,0.5766,8.8576,4.3325,8.5504,6.5064,8.7511,16.534,5.9958,9.2111,8.4857,9.7894,7.4316,0.4266,5.0615,13.5792,14.3085,17.3147,0.224,8.112,8.4673,4.0805,6.0292,13.3283
2020-12-31 00:00:00,318.2201,0.1764,1.0196,16.1749,16.0549,27.3946,20.6384,6.8397,14.3198,0.5441,11.2632,5.1476,10.8565,7.8817,10.2536,19.3272,6.6754,9.7221,10.2393,11.6855,8.7843,0.589,6.7543,16.3146,17.7401,17.6603,0.5668,9.3686,8.5763,4.0104,7.1577,14.4828
2019-12-31 00:00:00,457.2858,0.1923,1.7831,28.6938,22.864,35.2399,26.3087,9.8374,13.4919,0.76,28.4552,7.782,15.1022,12.5363,22.7079,28.1511,10.4387,11.6785,19.1311,12.0421,9.5139,0.6874,7.4962,18.816,23.3695,23.5755,0.3372,14.3261,11.2916,4.3211,12.5031,23.8603
2018-12-31 00:00:00,516.1169,0.2672,1.9027,34.3238,28.1887,36.3324,32.1171,8.9586,14.6077,1.1103,31.6826,8.6948,16.2673,10.8541,24.942,34.1254,12.2672,12.0808,22.9439,15.0979,10.0645,0.8092,9.1741,19.169,32.5519,24.7365,0.355,14.7216,12.551,4.6471,13.0635,27.5089
2017-12-31 00:00:00,610.8376,0.654,2.5146,43.3093,34.119,37.812,34.8989,12.2695,18.3744,1.377,38.3163,11.1807,19.5393,11.954,31.724,41.6328,13.9811,17.3671,27.5865,18.7284,10.5198,0.9659,12.2408,22.3222,35.8904,26.0106,0.3027,18.5807,13.1307,5.0331,14.8087,33.6931
2016-12-31 00:00:00,854.8932,1.4989,2.6744,55.1764,49.5896,56.9521,41.1235,14.3951,21.8644,6.5035,57.7992,13.3255,27.2046,24.1613,45.805,72.9757,38.6462,21.7836,30.9185,25.5568,13.7892,1.3363,12.9282,30.7878,35.3681,45.1745,0.3458,25.0245,15.6749,5.6168,19.6536,41.239
2015-12-31 00:00:00,1859.1194,7.1172,18.59,110.8371,112.0643,123.0946,96.8767,36.2928,45.6331,17.0844,83.5059,53.7826,48.0073,33.7882,52.8065,152.567,114.4252,55.1358,59.547342,67.834135,42.1199,3.23,49.580196,71.7584,85.2964,58.3739,0.5373,73.5017,57.0621,15.0766,35.7596,77.833
2014-12-31 00:00:00,1974.416,7.8906,20.92,118.9903,120.8225,131.2436,99.4597,37.2256,47.2248,18.8149,90.4741,57.4012,49.2966,35.5957,53.4415,159.0237,119.8182,58.375924,62.36886,73.014658,46.6589,3.2564,52.694428,79.6402,92.5787,63.6683,0.425,78.0954,57.5649,15.4276,37.7056,85.2981
2013-12-31 00:00:00,2043.9218,8.7042,21.6832,128.4697,125.5427,135.8692,102.7044,38.1453,48.9094,21.5848,94.1679,59.3364,50.1349,36.1003,55.7704,164.4967,125.3984,59.935287,64.132104,76.189606,47.1987,3.2414,54.768606,81.6706,98.6423,66.3091,0.4192,80.6152,56.1981,15.6694,38.9712,82.9431
2012-12-31 00:00:00,2117.632,9.3849,22.4521,134.1201,130.1755,138.4928,105.8712,40.3482,51.43,22.8218,99.1967,62.5766,51.9589,37.1251,56.7687,174.8807,127.5909,62.236729,64.495947,79.922324,50.4123,3.4137,56.477663,86.444,104.1087,67.2216,0.4185,84.3755,57.2489,15.3853,40.6633,79.6128
2011-12-31 00:00:00,2217.9082,9.7883,23.09,141.2129,139.9051,140.9404,112.617,41.3191,52.1896,24.0101,105.38,66.2048,52.9474,38.9175,58.4061,182.7397,137.0504,66.564029,68.552958,84.77276,52.1023,3.2572,58.692907,90.2006,110.4284,69.1226,0.4176,91.6839,62.3902,15.6602,41.0385,76.3055
2010-12-31 00:00:00,2185.1,11.505,23.515,123.38,124.92,139.41,102.22,35.63,49.02,35.81,105.05,67.83,53.21,40.91,55.71,153.7818,133.87,63.26,80.13,105.05,90.38,2.88,71.94,113.0952,114.88,50.0702,0.39,77.8649,55.18,14.3431,31.08,58.85
2009-12-31 00:00:00,2214.4,11.8794,23.67,125.35,126.84,139.88,105.14,36.3,49.04,37.89,107.42,70.13,53.84,41.97,56.42,159.0301,135.5,64.38,81.15,107.05,89.05,2.2,74.61,113.5299,117.55,49.9306,0.17,80.4408,50.03,13.5698,31.42,58.99
2008-12-31 00:00:00,2321.2,12.3214,24.01,134.5,130.8,143.1,113.07,37.8,50.6,44.61,113.03,74.1,55.6,42.89,58.3,169.1881,145.2001,66.9787,84.01,113.6,92.5,2.2,78.24,114.78,123.59,50.1741,0.2,88.9376,50.2,13.4807,34.8,58.54
2007-12-31 00:00:00,2468.1,15.1661,24.47,149.25,138.67,145.58,123.38,39.9,51.54,49.78,121.81,79.7,57.17,44.5658,62.1,182.215,156.39,70.76,90.4289,120.3,97.38,2.56,82.62,117.87,137.51,53.37,0.19,92.7209,52.32,13.3923,36.98,57.99
2006-12-31 00:00:00,2588.8,17.5544,25.48,154.5,147.8,155.7,125.91,40.9,51.8,50.8,130.38,85.9,58.4,46.8573,63.4,196.1833,162.4382,76.02,93.4,126.7,99.4,2.4,85.95,128.1,146.5,55.1,0.2,98.1,54.6,12.985,38.3,54.93
2005-12-31 00:00:00,2549.4,19,26.5,149.5,151.6,145.6,119.7,38.3,50.8,51.28,137.34,86,57.1,46.1154,61.3,200.2832,162.453,71.8,91.9,129.4,102.4,2.2,83.71,130,135.8,52.1898,0.2,92.2016,56.3,12.3667,34.2,51.92
2004-12-31 00:00:00,2254.9,19.1,22.7,142.8,141.5,117.9,83.1,28.5,37.3,47.4,123.99,81.4,49,32.6,51.9,182.1194,125.6,69.24,87.3,114.79,94.4,2.3,79.5,126.5,131.5,47.7485,0.1,81.8,48.4,7.3,29.3,48.1
2003-12-31 00:00:00,2158.5,18.3,26,119.4954,103.3339,113.7818,82.29,18.8434,28.5306,43.54,124.07,70.7271,40.5353,29.3073,39.1746,183.569,90.1694,53.06,67.1389,107.52,83.0469,2.2442,61.3139,105.0542,132.29,45.2567,0.0749,65.1036,49.3909,5.0522,25.8372,32.99
2002-12-31 00:00:00,1926.6,19.2,20,105.3356,90.7021,55.9001,79.25,18.715,21.3322,44.66,111.97,59.3868,34.9088,18.1196,24.8105,168.9507,80.7354,53.92,57.5897,97.55,64.6194,2.2037,55.182,93.0169,134.11,36.4074,0.0735,55.4079,37.3804,2.2115,18.722,29.61
2001-12-31 00:00:00,1947.2,20.1,20,109.5947,90.205,48.5106,83.94,19.0626,21.895,47.26,108.7585,55.571,34.8743,18.6121,25.9002,172,75.9939,54.05,58.6849,97.31,66.2624,1.9283,56.9418,94.0772,138.12,35.7485,0.0734,54.2241,31.5363,2.3686,16.8781,29.99
2000-12-31 00:00:00,1995.1,22.4,16,113.3599,90.2681,50.6309,93.25,20.1688,22.167,46.49,89.05,56.1847,57.1,21.4338,28.8108,180,74.7384,56.04,62.6494,90.47,80.0485,2.0178,66.424,99.4064,145.01,38.59,0.0756,55.3738,36.86,2.0177,17.4155,31.05
1999-12-31 00:00:00,1460,16.1674,17,111.6566,93.2251,52.1816,72.3645,21.0021,21.4774,40.31,93.4906,60.8138,36.4298,16.9564,23.6745,183,67.8391,55.33,60.6373,69.49,54.8499,2.2148,75.8755,52.6157,67.88,27.6596,0.0892,57.2642,25.728,1.8992,17.5741,33.71
1998-12-31 00:00:00,1593.0213,19.2917,20,121.1946,110.0349,56.8503,75.1648,21.1655,22.1736,48.89,121.5742,61.0347,37.9063,15.4935,24.3817,226,76.7865,56.9,61.8784,64.3086,64.3485,2.0137,36.3784,71.765,85.15,30.6644,0.1435,56.1252,33.2082,1.9555,18.6005,19.1402
1997-12-31 00:00:00,1362.6293,21.0827,23.4943,100.8922,68.9285,53.1603,83.7627,19.3184,22.4417,50.85,99.8173,41.0868,33.2287,11.7244,21.6527,247,68.0624,59.8,46.8257,47.6337,49.8182,1.6891,39.6626,64.1198,75.01,27.0427,0.0838,54.8012,35.7872,2.529,18.5703,16.0358
1996-12-31 00:00:00,1363.5742,21.2283,20.0687,98.2723,67.0165,54.1651,80.6296,19.8628,23.6495,51,104.075,40.0241,31.9474,14.4002,25.8475,155.6731,51.5259,38.8,52.3446,52.4698,52.7492,2.2415,,95.9235,58.56,27.0142,0.2316,60.9923,34.1844,1.7343,17.5676,17.0432
1995-12-31 00:00:00,1405.021,21.4899,0.0026,94.4139,65.8291,53.1985,81.5876,20.1532,24.4849,53.41,104.4719,41.3229,35.1161,14.3335,28.1082,232,53.0149,54,57.8562,75.31,57.9485,2.4844,,108.197,56.6856,25.8454,0.1884,65.2262,34.6682,2.6143,17.2729,22.2
1994-12-31 00:00:00,1341.4155,17.5616,19.499,90.5969,68.4255,49.9217,77.0776,18.4309,23.2266,45.19,98.3065,41.1685,30.9957,12.7249,41.6307,225,45.9695,39.4922,51.5621,58.136,51.115,2.4438,,102.6969,62.29,24.9415,0.1814,64.1515,32.2778,2.4095,16.5562,18.2448
1993-12-31 00:00:00,1292.4899,20.3736,17.564,86.0167,60.4764,43.3533,82.2759,18.8156,21.9335,44.12,91.377,41.6569,34.0557,15.4015,24.6579,228,40.8633,38.2518,51.4905,50.8004,52.2243,2.3657,,119.418,58.5409,25.8533,0.1748,55.9626,33.7805,1.6679,16.3563,13.5319
1992-12-31 00:00:00,1323,20,17,79,54,130,84,15,21,51.36,89,41,32,12,24,226,41,40,48,47,56,2,,112,56,20,0,55,30,2,14,17
1991-12-31 00:00:00,1165,21,15,74,51,44,80,17,22,47.92,88,34,32,11,28,204,41,44,50,43,51,1,,89,39,20,,51,28,2,12,16
1990-12-31 00:00:00,,,,,,,,,,,,,,,,193,,55.6,,39.64,,,,,,,,,36.198,,,15.7
1989-12-31 00:00:00,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,
1988-12-31 00:00:00,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,
1987-12-31 00:00:00,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,
1986-12-31 00:00:00,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,
1985-12-31 00:00:00,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,
1984-12-31 00:00:00,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,
1983-12-31 00:00:00,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,
1982-12-31 00:00:00,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,
1981-12-31 00:00:00,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,
